,HI_M3-Ambiente,PHI_M3-Ambiente,PSN_M3-Ambiente,SW_M3-Ambiente,SWP_M3-Ambiente,StWP_M3-Ambiente,VPP_M3-Ambiente,YdHa_M3-Ambiente,YdPl_M3-Ambiente,HI_INV-M3-1,PHI_INV-M3-1,PSN_INV-M3-1,SW_INV-M3-1,SWP_INV-M3-1,StWP_INV-M3-1,VPP_INV-M3-1,YdHa_INV-M3-1,YdPl_INV-M3-1,HI_INV-M3-2,PHI_INV-M3-2,PSN_INV-M3-2,SW_INV-M3-2,SWP_INV-M3-2,StWP_INV-M3-2,VPP_INV-M3-2,YdHa_INV-M3-2,YdPl_INV-M3-2,PHI_Caribia,YdHa_Caribia,YdPl_Caribia,PHI_Espinal,SW_Espinal,YdHa_Espinal,YdPl_Espinal
GCDT_218,58.879,72.973,3.06,0.188,0.532,2.956,3.821,666.482,4.314,57.648,77.572,3.147,0.194,0.624,15.823,13.164,1039.376,5.717,55.962,72.907,3.07,0.193,0.612,7.198,6.924,784.761,5.957,62.381,162.392,2.633,75.558,0.218,1181.137,13.996
GCDT_219,43.797,67.234,2.834,0.196,0.526,16.695,3.988,912.88,6.038,NA,NA,NA,NA,NA,23.932,13.368,NA,NA,30.175,65.753,2.748,0.22,0.614,20.615,5.612,630.101,4.632,NA,NA,NA,76.737,0.238,1026.378,10.688
GCDT_220,50.11,71.191,2.717,0.228,0.61,11.917,3.596,994.038,6.471,16.728,49.702,1.898,0.193,0.367,33.176,13.395,673.329,4.185,16.815,46.063,2.212,0.161,0.37,28.329,18.346,255.48,2.916,60.547,126.924,1.861,76.351,NA,NA,NA
GCDT_221,55.231,71.511,3.487,0.175,0.572,5.778,3.603,767.962,6.041,52.194,72.679,3.267,0.204,0.661,22.065,13.228,1592.776,8.057,44.468,74.011,2.704,0.187,0.501,15.68,4.736,740.95,5.601,NA,NA,NA,76.15,0.219,1392.57,14.326
GCDT_222,41.692,67.698,2.609,0.201,0.496,9.249,3.865,568.17,4.498,26.449,63.075,2.512,0.297,0.678,42.047,14.513,687.772,3.974,48.214,75.467,3.552,0.261,0.925,18.193,14.187,1014.912,7.01,65.457,144.602,2.434,76.168,0.245,1190.623,12.776
GCDT_223,53.992,71.693,3.271,0.214,0.734,7.914,3.504,959.654,7.657,52.014,71.563,2.963,0.235,0.688,18.097,NA,1150.307,6.265,NA,NA,NA,NA,NA,33.353,6.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCDT_224,55.54,72.034,3.501,0.22,0.764,8.13,3.566,918.799,6.694,51.084,71.976,2.775,0.234,0.648,17.841,13.176,1062.675,5.957,49.224,71.586,2.868,0.223,0.658,11.84,10.807,830.325,5.826,64.5,125.731,2.317,75.901,0.259,1023.093,9.826
GCDT_225,52.331,70.89,2.762,0.222,0.596,9.469,3.553,919.663,6.402,31.979,66.269,2.283,0.243,0.531,25.49,13.196,915.746,5.026,43.187,64.542,2.318,0.248,0.572,17.343,5.916,834.251,6.013,NA,NA,NA,73.216,0.262,988.893,10.278
GCDT_226,49.595,69.644,2.991,0.191,0.547,8.518,3.673,721.99,5.154,27.762,62.419,2.473,0.185,0.441,29.827,12.963,744.5,4.471,41.144,72.27,2.99,0.24,0.713,20.399,NA,637.297,4.732,NA,NA,NA,74.146,0.254,975.168,8.516
GCDT_227,61.134,75.436,3.456,0.231,0.84,6.844,3.451,983.797,7.39,53.175,76.761,3.562,0.228,0.815,15.977,13.1,961.375,5.256,59.074,79.726,3.112,0.287,0.877,8.183,5.302,677.039,5.141,66.015,142.894,2.38,76.232,0.239,1126.438,11.923
GCDT_228,45.776,69.416,2.728,0.19,0.489,11.749,3.373,799.369,5.183,NA,NA,NA,NA,NA,18.355,NA,NA,NA,43.559,68.887,2.705,0.184,0.521,15.567,7.021,962.391,6.761,NA,NA,NA,NA,NA,NA,NA
GCDT_229,49.098,69.244,1.98,0.201,0.341,7.669,3.592,713.758,4.981,23.824,71.691,2.211,0.176,0.408,25.165,14.22,808.056,4.536,48.506,71.415,2.405,0.198,0.476,12.409,7.838,516.105,3.623,NA,NA,NA,NA,NA,NA,NA
GCDT_230,65.635,76.032,3.123,0.203,0.615,2.757,3.505,779.006,6.08,61.222,79.81,3.091,0.167,0.526,13.88,12.901,1001.956,5.484,63.691,80.657,2.978,0.208,0.641,4.739,6.723,741.748,5.605,72.404,202.574,2.853,80.089,0.225,1157.0,11.763
GCDT_231,32.531,72.499,1.968,0.181,0.292,6.151,NA,490.132,2.52,24.381,60.148,1.628,0.187,0.334,16.084,13.829,341.026,2.333,NA,NA,NA,NA,NA,9.724,5.989,NA,NA,65.807,125.624,2.152,77.679,0.23,1126.665,11.259
GCDT_232,65.069,76.451,3.379,0.175,0.571,7.303,NA,952.456,6.845,30.15,75.303,3.59,0.183,0.63,26.83,13.15,839.212,5.012,34.253,56.655,3.13,0.149,0.497,17.756,NA,762.329,6.263,NA,NA,NA,NA,NA,NA,NA
GCDT_233,41.769,68.095,2.477,0.175,0.393,7.042,3.479,501.229,3.624,30.522,70.353,1.893,0.213,0.4,18.674,NA,698.624,3.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCDT_234,35.582,66.416,2.283,0.162,0.348,6.054,3.557,567.057,4.015,41.262,74.084,2.187,0.197,0.424,18.652,NA,787.933,4.82,53.412,77.341,2.913,0.209,0.619,13.37,NA,724.031,5.217,NA,NA,NA,79.584,NA,NA,NA
GCDT_235,53.716,70.657,2.717,0.135,0.324,4.557,3.349,649.497,5.211,55.696,73.476,2.781,0.157,0.438,16.639,13.106,1003.884,5.575,60.824,72.803,2.617,0.138,0.427,5.187,5.058,520.581,4.102,NA,NA,NA,NA,NA,NA,NA
GCDT_236,56.513,70.821,2.619,0.12,0.267,1.326,3.492,366.457,3.012,57.013,73.858,2.487,0.167,0.423,16.388,13.144,911.871,5.33,55.543,78.989,2.964,0.144,0.454,6.816,5.164,566.14,4.235,71.744,131.396,3.18,74.085,0.164,887.578,9.146
GCDT_237,52.591,70.511,2.47,0.159,0.4,2.429,3.509,540.939,3.967,49.847,72.943,2.56,0.164,0.435,16.665,13.157,922.665,4.875,40.885,67.563,2.377,0.147,0.395,5.433,10.435,539.105,4.634,70.614,153.603,2.933,74.808,0.249,1154.583,8.992
GCDT_238,53.008,74.15,2.63,0.278,0.717,18.408,3.491,1271.994,8.161,42.397,73.772,2.218,0.288,0.596,27.741,NA,1132.61,6.205,48.25,74.841,2.636,0.252,0.68,28.535,6.756,1312.867,8.678,68.867,140.091,2.473,78.239,0.257,1145.319,11.728
GCDT_239,55.549,70.186,2.318,0.2,0.435,8.506,3.504,1040.339,7.968,55.902,74.495,2.394,0.207,0.497,13.718,13.053,1067.608,6.002,59.385,77.968,2.611,0.205,0.534,11.711,7.276,1276.73,8.212,NA,NA,NA,NA,NA,NA,NA
GCDT_240,53.284,74.177,3.38,0.234,0.792,19.48,NA,1438.713,8.958,52.713,72.335,2.522,0.261,0.671,28.369,13.052,2412.355,12.377,50.478,75.903,3.255,0.284,0.928,35.709,11.09,2216.256,13.848,69.505,97.066,1.982,77.038,0.262,1084.463,10.724
GCDT_241,59.152,74.542,3.425,0.223,0.785,7.597,3.509,994.205,7.854,45.216,68.445,2.217,0.243,0.51,19.126,13.752,1059.411,6.102,51.788,71.603,2.644,0.213,0.583,14.176,7.133,1195.842,8.096,64.259,125.159,2.222,77.934,0.274,1230.611,12.946
GCDT_242,65.162,75.658,3.732,0.2,0.787,4.697,3.616,1128.473,7.7,NA,NA,2.999,0.164,0.495,NA,13.873,1060.372,5.807,61.963,80.248,3.107,0.238,0.724,11.473,18.575,1108.293,7.586,NA,NA,NA,NA,NA,NA,NA
GCDT_243,63.433,75.045,3.8,0.196,0.745,3.487,3.411,801.076,5.412,61.392,77.695,2.941,0.202,0.594,8.899,13.172,631.087,4.275,59.281,74.868,3.293,0.206,0.678,8.488,6.962,823.826,5.775,71.392,207.44,2.673,78.44,0.207,1186.913,12.775
GCDT_244,58.431,73.156,3.446,0.184,0.625,6.145,NA,887.636,6.683,55.241,75.261,2.871,0.18,0.521,13.996,13.137,987.47,5.686,NA,NA,NA,NA,NA,11.876,NA,NA,NA,66.93,133.87,2.274,79.84,0.196,1436.585,14.834
GCDT_245,53.166,70.719,3.693,0.136,0.475,6.057,3.683,717.889,5.111,49.363,70.078,3.068,0.142,0.448,19.002,13.127,1100.464,6.192,NA,NA,NA,NA,NA,12.559,17.54,NA,NA,63.285,103.919,2.197,73.644,0.177,1156.374,12.612
GCDT_246,47.464,66.346,2.516,0.193,0.453,8.945,3.193,751.82,5.838,18.825,44.146,1.499,0.231,0.343,51.57,17.016,923.477,5.132,NA,NA,NA,NA,NA,25.289,35.111,NA,NA,NA,NA,NA,71.828,0.279,1116.29,11.969
GCDT_247,56.166,73.117,3.213,0.16,0.472,5.386,3.543,712.777,5.08,48.886,72.46,2.677,0.188,0.499,22.071,12.988,1298.399,6.948,53.32,77.348,3.039,0.201,0.593,14.525,NA,1022.512,7.037,70.971,130.757,2.288,75.616,0.235,1041.854,11.241
GCDT_248,51.795,69.026,2.675,0.146,0.338,6.138,3.566,740.346,5.544,53.204,74.255,3.168,0.16,0.496,16.376,13.186,883.405,4.821,46.107,65.708,3.045,0.12,0.448,6.552,NA,714.818,5.011,61.425,123.564,2.112,77.698,0.203,1199.517,9.45
GCDT_249,64.084,76.471,3.694,0.176,0.653,5.982,NA,1131.486,7.673,58.725,77.205,3.759,0.187,0.686,16.273,13.336,1296.185,7.19,59.876,78.75,3.785,0.175,0.694,8.239,9.657,851.102,6.487,70.055,153.319,2.561,79.993,0.196,1322.802,13.902
GCDT_250,61.306,74.548,3.74,0.199,0.775,7.531,3.519,1264.181,7.65,51.079,72.236,2.642,0.221,0.572,22.688,13.081,1482.625,7.669,NA,NA,NA,NA,NA,22.772,7.878,NA,NA,69.017,152.702,2.542,77.627,0.25,1210.72,12.365
GCDT_251,60.952,74.362,3.504,0.153,0.471,5.444,3.503,954.702,6.997,53.448,75.076,3.234,0.151,0.493,14.529,13.151,953.163,5.531,57.497,76.457,2.996,0.171,0.546,9.774,6.155,751.439,5.662,72.912,83.498,2.166,78.362,0.182,1027.532,9.333
GCDT_252,64.498,75.787,3.343,0.179,0.566,5.674,3.565,1138.053,7.43,64.153,79.855,3.074,0.187,0.595,14.502,NA,1269.414,6.979,35.425,73.791,2.88,0.18,0.537,16.314,6.001,691.356,5.145,74.101,181.422,2.655,79.017,0.194,1097.186,12.022
GCDT_253,54.683,71.992,3.281,0.2,0.67,13.653,NA,1376.471,11.147,50.681,72.603,3.223,0.195,0.629,24.051,13.118,1604.433,8.302,41.245,77.331,3.328,0.219,0.739,25.162,NA,990.024,6.648,72.03,173.182,2.834,78.161,0.234,1593.519,16.299
GCDT_254,56.922,74.391,3.149,0.203,0.647,7.728,3.732,960.972,6.982,55.629,74.366,2.811,0.217,0.604,12.948,13.345,823.255,4.766,55.333,76.878,2.798,0.181,0.523,9.928,6.754,1008.136,6.944,64.591,175.999,2.605,76.792,0.222,1101.782,11.766
GCDT_255,62.348,75.583,3.361,0.222,0.736,9.917,NA,1339.212,10.86,52.08,69.836,2.819,0.216,0.614,14.794,12.81,979.416,5.457,48.58,69.571,2.403,0.237,0.595,10.525,12.441,798.878,5.306,69.647,136.396,2.412,77.781,0.23,1447.383,16.359
GCDT_256,57.551,73.519,3.107,0.232,0.725,12.077,3.692,1380.175,8.6,NA,NA,NA,NA,NA,18.433,NA,NA,NA,52.075,76.424,3.456,0.183,0.647,16.338,9.583,1010.353,6.865,74.036,146.382,2.487,79.151,0.236,1260.745,14.107
GCDT_257,56.651,72.422,2.259,0.227,0.454,6.7,3.387,945.061,6.363,56.146,77.695,2.576,0.231,0.577,14.657,12.902,940.527,5.643,49.109,72.213,2.828,0.243,0.696,15.199,59.704,887.539,6.734,NA,NA,NA,NA,NA,NA,NA
GCDT_258,64.833,75.297,3.206,0.202,0.64,4.72,NA,1037.09,6.886,55.748,76.474,3.661,0.161,0.528,16.911,13.077,1034.555,5.808,62.512,81.122,3.072,0.24,0.726,7.474,9.357,933.169,6.627,71.77,158.874,2.466,79.252,0.218,1275.127,13.501
GCDT_259,57.776,73.58,3.4,0.203,0.668,8.217,3.624,1059.109,8.132,55.705,78.8,3.144,0.24,0.763,20.053,12.96,1592.834,8.176,52.754,75.201,3.146,0.247,0.791,18.625,6.661,1404.906,9.09,NA,NA,NA,NA,NA,NA,NA
GCDT_260,60.49,74.505,3.489,0.217,0.753,9.298,3.413,1326.56,8.486,50.895,74.952,3.308,0.218,0.726,47.183,13.444,2212.974,11.969,62.931,79.347,3.733,0.236,0.88,19.061,5.588,2176.704,13.303,70.416,141.047,2.455,80.648,0.242,1427.8,15.331
GCDT_261,61.919,74.76,3.199,0.207,0.69,4.466,NA,796.886,6.498,53.402,74.635,2.917,0.2,0.576,18.034,12.99,1306.557,7.109,NA,NA,NA,NA,NA,25.679,NA,NA,NA,71.088,157.635,2.538,78.861,0.259,1295.322,14.186
GCDT_262,63.672,75.826,3.45,0.188,0.646,6.94,NA,949.958,6.163,49.705,69.61,3.506,0.212,0.746,18.865,13.15,1294.047,7.158,58.913,78.406,3.843,0.229,0.873,11.542,NA,1189.184,7.854,66.016,160.314,2.767,77.785,0.231,1344.729,14.805
GCDT_263,47.495,69.27,2.941,0.169,0.474,5.981,3.573,520.774,3.519,38.712,72.36,2.232,0.189,0.428,23.841,NA,988.384,5.86,53.17,75.582,2.894,0.175,0.493,16.855,5.3,1075.727,7.193,70.607,135.615,2.386,80.913,0.23,1256.553,14.043
GCDT_264,40.8,62.53,1.649,0.202,0.283,7.496,4.349,605.786,4.443,37.955,72.575,2.245,0.186,0.424,18.779,13.297,732.572,4.312,35.861,68.517,1.841,0.222,0.412,15.748,11.48,710.559,4.98,NA,NA,NA,77.391,0.232,1138.101,12.071
GCDT_265,64.819,75.488,3.196,0.169,0.476,3.657,3.829,1037.526,6.952,61.227,77.846,3.325,0.199,0.634,16.982,13.154,1336.997,7.134,65.738,81.22,2.988,0.21,0.634,10.177,NA,1325.563,8.756,NA,NA,NA,79.841,0.199,1210.844,12.559
GCDT_266,61.261,73.706,2.541,0.17,0.387,2.51,3.251,678.261,5.282,58.563,77.057,2.529,0.239,0.613,17.212,13.258,1433.756,7.5,60.516,78.856,3.045,0.235,0.723,11.888,14.576,1205.786,7.92,71.601,173.666,2.606,79.189,0.22,997.744,10.014
GCDT_267,52.768,72.673,3.032,0.189,0.579,12.103,3.787,958.34,6.434,51.243,75.586,2.783,0.209,0.589,23.188,13.722,1396.57,7.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.464,126.95,2.305,80.1,0.213,1153.467,12.113
GCDT_268,40.358,66.519,2.056,0.154,0.277,11.515,3.646,711.509,4.799,43.923,72.365,2.217,0.173,0.392,23.848,13.335,1118.182,6.203,NA,NA,NA,NA,NA,22.413,NA,NA,NA,70.239,137.661,2.409,78.83,0.225,863.682,8.754
GCDT_269,66.218,77.891,3.293,0.168,0.559,7.748,NA,946.251,6.445,65.828,80.85,2.71,0.187,0.51,11.207,13.166,1119.059,6.029,65.425,81.994,3.319,0.191,0.667,7.648,5.345,1046.349,7.636,69.414,111.68,2.261,81.468,0.183,1245.59,12.225
GCDT_270,52.92,70.463,3.606,0.159,0.573,6.084,4.104,751.72,5.278,45.891,75.21,2.946,0.255,0.754,20.525,13.254,1165.012,6.312,38.254,78.827,3.145,0.263,0.818,33.623,NA,952.532,6.406,70.048,167.404,2.6,77.463,0.233,1124.955,11.853
GCDT_271,42.539,64.864,3.058,0.131,0.402,3.638,3.865,498.403,3.554,47.675,72.098,2.812,0.207,0.581,17.964,13.161,882.375,5.157,45.287,76.132,2.605,0.208,0.536,13.457,NA,639.05,5.407,NA,NA,NA,NA,NA,NA,NA
GCDT_272,53.48,71.759,3.111,0.273,0.875,13.266,3.511,1094.134,8.801,38.925,72.664,2.84,0.24,0.684,24.05,13.227,940.459,5.356,31.014,71.646,2.901,0.244,0.701,35.164,7.583,608.045,4.498,NA,NA,NA,NA,NA,NA,NA
GCDT_273,55.43,72.888,3.781,0.146,0.527,5.725,3.71,715.37,5.824,46.869,78.379,3.354,0.204,0.681,24.594,13.161,1236.077,6.848,NA,NA,NA,NA,NA,32.346,NA,NA,NA,69.35,138.934,2.442,79.781,0.219,1287.401,14.339
GCDT_274,44.782,66.577,2.886,0.159,0.399,9.453,3.466,713.864,4.96,42.445,75.266,3.292,0.227,0.757,32.238,13.957,970.031,5.325,38.525,75.205,3.304,0.247,0.848,24.254,7.916,851.472,6.228,67.558,125.646,2.076,78.6,0.257,1262.313,14.552
GCDT_275,60.126,73.475,2.972,0.21,0.588,7.593,3.405,999.621,7.589,53.243,75.495,2.657,0.242,0.632,23.515,13.034,1765.756,8.759,55.003,74.601,2.704,0.24,0.663,21.174,5.779,1839.76,14.938,NA,NA,NA,NA,NA,NA,NA
GCDT_276,57.113,71.458,3.397,0.168,0.529,5.735,3.595,818.003,5.843,55.157,75.74,2.788,0.225,0.607,19.962,12.998,1628.377,8.335,55.568,78.263,3.014,0.22,0.647,14.821,5.484,1226.451,7.728,64.781,123.705,2.315,79.893,0.216,1079.357,11.404
GCDT_277,39.588,61.98,2.398,0.128,0.296,2.281,3.422,489.8,3.437,55.273,77.297,2.491,0.172,0.418,14.767,13.14,716.939,4.581,57.174,74.471,3.106,0.18,0.547,8.954,5.617,818.483,6.181,65.005,117.363,2.205,79.037,0.229,1042.533,11.381
GCDT_278,36.081,57.285,3.365,0.106,0.302,2.689,3.663,504.691,2.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.536,60.049,2.055,0.152,0.384,7.639,5.495,568.978,4.249,68.793,128.29,2.342,72.134,0.163,742.199,6.963
GCDT_279,47.378,66.176,2.663,0.137,0.302,3.658,3.8,553.127,3.553,25.205,53.092,1.998,0.127,0.292,12.015,13.081,524.991,3.739,41.082,68.054,2.415,0.147,0.389,7.968,5.292,538.834,4.779,NA,NA,NA,NA,NA,NA,NA
GCDT_280,65.24,76.761,4.174,0.202,0.823,5.358,3.637,1105.793,8.223,54.567,76.969,3.072,0.235,0.721,19.759,13.137,1451.935,7.624,57.655,79.255,3.497,0.255,0.886,15.161,13.788,1314.686,8.626,68.877,135.548,2.361,80.171,0.228,1060.251,10.75
GCDT_281,58.194,75.013,5.185,0.149,0.686,4.507,3.98,752.209,5.78,58.512,77.871,3.324,0.251,0.859,20.66,13.193,1699.09,9.23,51.459,76.795,2.979,0.258,0.758,20.765,7.523,1352.453,9.087,66.413,118.55,2.229,79.593,0.25,1271.233,13.347
GCDT_282,NA,NA,NA,NA,NA,3.731,3.652,NA,NA,52.494,72.527,2.727,0.201,0.534,15.995,12.965,1020.534,5.823,52.003,70.139,2.76,0.181,0.529,11.889,5.467,906.245,6.575,NA,NA,NA,76.171,0.22,910.085,9.218
GCDT_283,49.47,69.655,3.323,0.164,0.516,7.067,3.807,668.554,5.282,45.457,75.419,2.92,0.252,0.733,24.454,13.163,1238.195,6.703,29.819,80.245,3.55,0.228,0.798,24.815,4.75,774.082,5.299,70.462,140.356,2.7,80.34,0.229,1358.893,14.589
GCDT_284,60.312,76.543,3.431,0.211,0.725,6.705,3.741,960.201,7.252,51.103,76.954,3.45,0.249,0.855,21.286,13.218,1215.41,6.71,56.539,76.614,3.369,0.212,0.718,12.783,7.746,1142.637,7.558,67.261,126.868,2.267,79.711,0.257,1143.273,13.85
GCDT_285,53.076,71.432,3.309,0.207,0.69,10.226,NA,1007.601,6.596,50.829,73.008,2.958,0.208,0.615,17.034,13.058,1017.253,5.646,54.71,72.032,2.562,0.209,0.543,9.781,3.535,863.235,6.418,67.201,136.306,2.358,77.159,0.218,1226.627,12.242
GCDT_286,58.208,73.74,3.423,0.245,0.834,8.295,NA,974.598,6.534,53.163,77.05,3.404,0.224,0.758,18.773,NA,1205.301,6.714,53.358,75.999,3.213,0.231,0.771,16.901,11.971,1271.499,8.439,69.063,142.709,2.505,79.533,0.238,1260.177,14.504
GCDT_287,63.294,75.653,3.911,0.219,0.894,9.877,3.573,1816.13,11.464,60.576,79.016,3.949,0.208,0.821,17.332,13.087,1754.248,9.492,61.767,82.136,4.022,0.236,0.956,13.591,7.644,1360.43,8.838,72.534,152.105,3.613,81.289,0.233,1516.012,16.195
GCDT_288,62.901,76.654,3.343,0.16,0.525,4.246,3.486,785.204,5.935,55.942,73.554,2.895,0.175,0.481,17.472,12.998,1319.629,7.804,64.835,80.754,3.646,0.183,0.688,8.761,12.168,1300.421,8.808,NA,NA,NA,NA,NA,NA,NA
GCDT_289,63.581,75.453,3.08,0.174,0.507,5.947,3.459,1133.143,7.213,56.805,75.294,3.324,0.186,0.599,19.761,13.149,1506.397,7.933,58.827,78.159,3.403,0.187,0.626,12.425,6.631,1051.223,7.227,NA,NA,NA,NA,NA,NA,NA
GCDT_290,53.037,70.268,2.21,0.327,0.67,10.087,3.705,1017.193,6.794,50.761,73.121,3.259,0.251,0.817,25.828,13.185,1672.709,8.526,47.107,72.225,3.741,0.227,0.823,29.906,6.139,1238.883,8.089,66.784,133.058,2.355,75.239,NA,NA,NA
GCDT_291,61.548,76.183,3.99,0.202,0.819,5.622,3.489,1007.538,8.123,59.481,81.605,3.881,0.212,0.848,15.187,13.032,1056.641,5.932,56.673,77.141,3.381,0.233,0.807,14.201,NA,1203.979,8.026,66.197,129.283,2.348,75.765,0.273,1405.588,15.931
GCDT_292,58.687,72.826,3.854,0.204,0.804,9.287,3.587,1274.975,8.223,52.565,72.384,3.486,0.257,0.907,23.245,13.203,1683.636,8.574,56.353,75.817,3.282,0.25,0.807,17.255,5.131,1255.86,8.197,67.783,163.098,2.603,76.999,0.265,1249.427,12.724
GCDT_293,57.723,73.65,4.041,0.206,0.864,9.407,NA,1166.029,7.723,45.093,66.055,3.464,0.25,0.836,27.637,12.832,1582.383,8.266,34.72,64.365,3.223,0.196,0.642,25.142,41.273,940.097,6.504,63.443,136.59,2.275,73.794,NA,NA,NA
GCDT_294,39.624,68.485,2.683,0.194,0.474,17.48,3.505,721.91,4.848,42.571,71.094,2.96,0.25,0.721,26.043,13.948,1208.766,6.752,50.905,76.028,3.24,0.264,0.854,20.134,20.373,1334.953,8.764,NA,NA,NA,77.816,NA,NA,NA
GCDT_295,56.603,72.228,2.876,0.238,0.608,7.082,3.654,934.96,7.353,43.135,70.189,2.74,0.169,0.474,13.019,13.163,632.354,4.248,52.851,71.437,3.058,0.171,0.58,13.432,6.212,1100.134,7.424,67.247,115.547,2.192,77.923,0.221,1077.44,11.266
GCDT_296,63.378,75.957,4.17,0.209,0.889,5.912,3.387,836.07,5.993,59.639,79.034,3.553,0.243,0.876,18.555,13.108,1438.145,7.589,59.363,80.949,3.351,0.258,0.887,13.157,5.626,1033.51,7.338,72.653,138.795,2.422,81.002,0.241,1368.043,14.458
GCDT_297,49.345,71.138,2.681,0.246,0.7,18.052,4.021,1115.03,7.239,36.362,72.996,2.798,0.242,0.659,20.569,13.234,911.941,5.493,45.005,75.478,2.784,0.289,0.792,23.768,6.96,946.493,7.149,NA,NA,NA,NA,NA,NA,NA
GCDT_298,52.59,71.301,2.742,0.156,0.392,3.308,NA,481.148,3.718,50.18,72.019,2.653,0.207,0.558,14.247,13.237,766.188,4.731,55.204,75.071,2.725,0.224,0.611,6.919,8.675,649.361,5.239,71.382,121.236,2.22,76.769,0.253,528.977,6.297
GCDT_299,46.089,69.781,3.188,0.177,0.524,9.408,3.412,767.314,4.841,35.811,68.476,3.067,0.17,0.531,37.095,13.439,1015.073,5.454,49.684,69.075,3.409,0.158,0.563,14.796,NA,1015.64,6.905,NA,NA,NA,NA,NA,NA,NA
GCDT_300,56.885,73.96,3.347,0.194,0.647,9.171,3.427,978.394,7.585,47.276,71.873,3.067,0.198,0.607,23.954,13.081,1312.044,7.163,NA,NA,NA,NA,NA,16.089,NA,NA,NA,NA,NA,NA,77.335,0.237,1240.069,13.102
GCDT_301,42.108,66.277,3.012,0.142,0.35,6.893,3.57,534.481,3.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.363,69.062,2.57,0.186,0.493,9.488,7.301,575.768,3.407,70.741,173.634,2.709,77.535,0.25,1124.865,11.644
GCDT_302,44.824,63.837,2.75,0.135,0.321,3.954,3.613,596.116,4.152,26.088,57.199,2.494,0.126,0.339,22.657,13.294,675.118,3.901,37.395,60.929,2.427,0.145,0.379,16.333,9.601,770.555,5.471,73.132,145.23,2.53,78.932,0.257,1402.275,15.172
ICTA_LIGERO,69.212,77.767,3.356,0.194,0.637,1.901,3.556,814.635,6.032,59.857,81.335,2.854,0.185,0.543,18.24,12.952,892.39,4.771,64.958,80.045,2.883,0.209,0.616,7.898,5.073,987.626,6.654,73.015,220.913,3.015,80.942,0.199,1329.772,14.75
ROJO_SEDA,59.312,73.974,3.481,0.189,0.643,5.417,4.345,870.412,5.56,64.774,80.41,4.294,0.227,1.007,21.609,13.01,2641.297,14.154,61.881,80.182,3.825,0.21,0.827,11.727,6.599,1224.396,8.007,NA,NA,NA,NA,NA,NA,NA
SEF_010,64.995,76.432,4.203,0.2,0.839,7.144,3.407,1142.752,9.067,54.916,77.526,3.711,0.228,0.85,21.288,13.058,1406.136,9.204,59.675,79.535,3.637,0.224,0.833,10.298,5.441,1087.359,7.104,69.826,153.932,2.684,80.556,0.24,1132.814,14.082
SEF_060,61.523,75.844,3.952,0.213,0.825,7.158,3.219,1052.977,6.637,51.321,71.323,2.798,0.201,0.56,16.869,13.003,1288.261,7.06,52.684,74.013,3.569,0.216,0.765,12.221,6.337,852.225,5.835,71.95,205.194,2.903,NA,NA,NA,NA
SEN_118,65.247,77.805,3.831,0.237,0.935,8.434,4.274,1625.347,11.561,54.727,75.869,3.69,0.207,0.745,18.044,12.858,1191.406,6.37,60.355,82.512,3.377,0.264,0.914,16.068,4.589,1452.621,9.698,74.868,214.202,3.143,78.813,0.249,1596.53,16.475
SMC_214,52.319,70.215,3.295,0.209,0.671,11.203,3.525,1076.43,7.143,41.123,69.211,3.133,0.227,0.714,29.257,13.09,1233.066,6.658,46.393,71.079,3.646,0.226,0.749,19.088,7.014,990.182,6.735,67.364,107.254,2.278,74.963,0.242,965.334,9.823
SMR_155,55.331,71.593,2.975,0.277,0.85,12.884,3.809,1409.848,10.114,33.319,65.016,1.971,0.264,0.504,33.208,13.179,944.702,5.536,46.116,72.895,2.372,0.306,0.72,21.188,5.026,1023.548,7.082,NA,114.528,2.19,74.447,NA,NA,NA
VAP_001,62.555,77.554,4.32,0.201,0.883,12.218,3.375,1499.305,10.269,32.845,74.484,3.46,0.201,0.649,30.465,13.123,1101.533,6.121,NA,76.974,3.225,0.216,0.722,19.347,6.519,865.544,6.068,70.712,135.296,2.387,79.883,0.223,1198.818,12.332
GCDT_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.585,75.857,2.996,0.234,0.69,22.213,NA,1562.917,8.096,52.663,73.465,3.067,0.242,0.746,16.673,14.265,1159.68,7.645,NA,NA,NA,78.451,0.251,1281.133,13.39
GCDT_053,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.593,76.033,2.394,0.241,0.564,22.429,NA,941.647,5.295,50.718,79.024,2.993,0.231,0.693,17.693,NA,1134.487,7.759,74.401,145.757,2.466,80.276,0.261,1391.257,13.781
GCDT_030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.795,71.606,2.773,0.272,0.741,21.825,6.627,1153.177,10.308,70.261,154.705,2.717,79.488,0.264,1253.317,15.23
