,HI_M3-Ambiente,PHI_M3-Ambiente,PSN_M3-Ambiente,SW_M3-Ambiente,SWP_M3-Ambiente,StWP_M3-Ambiente,VPP_M3-Ambiente,YdHa_M3-Ambiente,YdPl_M3-Ambiente,HI_INV-M3-1,PHI_INV-M3-1,PSN_INV-M3-1,SW_INV-M3-1,SWP_INV-M3-1,StWP_INV-M3-1,VPP_INV-M3-1,YdHa_INV-M3-1,YdPl_INV-M3-1,HI_INV-M3-2,PHI_INV-M3-2,PSN_INV-M3-2,SW_INV-M3-2,SWP_INV-M3-2,StWP_INV-M3-2,VPP_INV-M3-2,YdHa_INV-M3-2,YdPl_INV-M3-2,PHI_Caribia,YdHa_Caribia,YdPl_Caribia,PHI_Espinal,SW_Espinal,YdHa_Espinal,YdPl_Espinal
GCDT_155,52.18,72.721,2.924,0.176,0.492,9.517,NA,852.427,7.732,36.419,69.696,2.473,0.18,0.458,28.262,13.358,996.547,5.792,34.572,58.368,2.541,0.164,0.449,16.727,7.837,648.235,5.581,65.613,141.003,2.393,76.749,0.265,1225.813,12.453
GCDT_156,49.866,69.436,3.078,0.16,0.462,7.016,3.882,689.116,5.176,51.314,72.801,2.932,0.228,0.669,21.545,13.024,1378.532,7.555,49.752,72.198,3.105,0.214,0.699,13.457,NA,962.293,7.636,66.692,128.825,2.269,76.072,NA,NA,NA
GCDT_157,58.575,75.043,3.898,0.232,0.946,8.83,3.607,1052.134,7.942,51.596,76.374,3.99,0.247,0.995,21.195,13.097,1385.197,7.358,55.834,77.744,4.182,0.229,0.978,11.852,6.782,868.7,6.117,NA,NA,NA,NA,NA,NA,NA
GCDT_158,55.859,73.109,3.568,0.225,0.821,8.313,3.538,988.355,7.481,54.686,76.999,3.836,0.27,1.06,20.375,12.964,1513.531,8.268,53.199,75.712,3.216,0.251,0.821,16.358,7.251,1238.882,8.011,67.591,130.38,2.281,78.151,0.278,1249.7,13.525
GCDT_159,57.93,74.836,3.011,0.212,0.641,8.449,NA,1053.33,6.726,48.311,73.246,2.351,0.291,0.602,33.562,13.083,1817.716,10.0,54.077,76.274,3.153,0.258,0.826,13.697,5.812,1085.583,8.689,67.112,134.351,2.317,78.201,0.234,1014.156,10.368
GCDT_160,54.143,71.321,2.954,0.211,0.589,7.007,4.099,753.667,4.777,51.071,68.673,2.673,0.281,0.73,17.027,12.966,1120.704,6.15,55.431,76.729,2.832,0.286,0.799,13.999,5.258,1184.441,8.772,NA,NA,NA,NA,NA,NA,NA
GCDT_161,56.509,72.802,3.234,0.181,0.574,5.795,3.732,768.666,5.636,47.438,72.598,2.372,0.235,0.554,23.092,13.097,1307.437,7.131,52.495,76.02,3.11,0.238,0.751,10.071,7.547,771.02,6.03,62.304,118.941,2.105,75.169,0.238,1091.374,10.614
GCDT_162,55.249,71.171,3.163,0.191,0.605,7.384,3.451,835.275,6.335,48.003,73.422,3.05,0.188,0.573,19.513,13.149,934.934,5.113,NA,NA,2.997,NA,NA,23.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCDT_163,41.811,63.902,2.538,0.252,0.617,19.456,4.254,1048.976,6.681,NA,NA,NA,NA,NA,47.525,13.876,NA,NA,19.999,49.17,1.778,0.211,0.379,36.349,20.262,586.322,4.3,66.058,118.795,2.254,75.824,0.257,996.901,10.447
GCDT_164,41.93,67.157,2.149,0.228,0.443,9.201,3.97,635.471,4.776,36.06,73.364,2.264,0.301,0.685,28.274,13.348,995.172,5.349,49.423,77.024,3.374,0.271,0.918,16.67,4.324,1026.827,7.838,66.31,122.747,2.266,75.14,NA,NA,NA
GCDT_165,37.58,64.155,2.322,0.204,0.423,9.795,3.369,516.807,3.989,31.54,61.469,2.176,0.253,0.544,36.545,13.959,1183.63,6.413,27.552,62.763,2.597,0.266,0.657,39.762,18.343,499.604,4.761,64.396,122.796,2.263,71.182,0.248,1002.241,10.344
GCDT_166,28.424,61.127,NA,0.206,NA,8.787,3.694,458.187,3.309,29.633,62.343,1.861,0.215,0.407,30.879,13.34,885.769,5.023,37.045,66.124,1.881,0.215,0.409,19.005,NA,703.254,5.731,NA,NA,NA,NA,NA,NA,NA
GCDT_167,34.196,54.382,2.168,0.145,0.317,6.24,4.37,557.207,2.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.887,0.142,0.33,6.017,NA,433.451,3.47,NA,NA,NA,NA,NA,NA,NA
GCDT_168,42.129,63.196,2.139,0.201,0.412,11.138,5.422,707.064,4.81,28.271,53.656,2.041,0.194,0.397,27.308,13.978,769.264,4.833,25.864,49.157,1.983,0.162,0.369,17.369,13.602,533.238,4.1,64.6,125.963,2.259,78.333,0.253,1444.646,15.365
GCDT_169,52.085,71.196,2.493,0.213,0.475,17.81,3.553,1368.269,10.824,38.09,63.546,1.935,0.262,0.474,33.147,13.496,1332.741,7.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.96,125.303,2.256,77.573,NA,NA,NA
GCDT_170,54.844,72.702,2.907,0.202,0.544,12.731,3.487,1170.525,9.107,36.766,64.256,2.135,0.215,0.445,21.343,13.637,889.404,5.29,NA,NA,3.035,0.242,0.759,9.212,6.937,932.125,7.396,66.879,120.743,2.297,77.19,0.255,1005.359,10.781
GCDT_171,54.291,70.15,2.509,0.169,0.434,7.864,NA,823.118,4.893,36.009,57.959,2.047,0.134,0.283,10.287,13.449,441.088,2.475,47.64,68.849,2.443,0.155,0.412,3.999,6.925,454.65,3.804,NA,NA,NA,68.895,0.154,412.39,3.55
GCDT_172,52.21,71.39,2.344,0.227,0.466,19.525,3.781,1465.419,9.391,38.631,64.308,1.901,0.254,0.494,38.605,13.133,1582.671,8.841,47.182,72.797,2.446,0.255,0.591,25.484,5.482,1256.271,8.438,68.374,115.209,2.251,78.039,0.269,1174.357,12.024
GCDT_173,53.314,71.429,2.928,0.218,0.619,11.293,3.381,1076.853,7.928,51.403,73.857,2.699,0.233,0.61,29.136,13.035,1898.148,9.616,53.683,73.109,2.755,0.229,0.613,25.142,5.535,1664.055,10.746,65.443,126.162,2.303,76.099,NA,NA,NA
GCDT_174,47.917,70.347,2.709,0.17,0.42,7.902,3.47,753.227,4.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.459,67.386,2.426,0.169,0.409,15.899,5.497,1043.437,8.781,NA,NA,NA,NA,NA,NA,NA
GCDT_175,38.112,64.847,2.299,0.149,0.337,12.284,3.647,612.604,4.485,36.508,60.597,1.973,0.181,0.369,22.44,13.252,803.819,7.357,31.805,56.708,2.178,0.146,0.372,10.85,6.722,517.535,4.419,67.661,118.781,2.159,76.099,0.233,925.824,9.381
