Variants segregating between each pair of groups
Group	Acutifolius	Vulgaris
Acutifolius	0	9094
Vulgaris	9094	0

Variants with not enough individuals genotyped or with high MAF within each group
Group	Acutifolius	Vulgaris
Not genotyped	0	0
Heterozygous	0	0

Regions assigned to each group for each sample
Sample	Sample group	Acutifolius	Vulgaris	Non genotyped	Unassigned	More than one group
GCDT_147	Vulgaris	0	160	0	17	0
GCDT_151	Vulgaris	0	167	0	10	0
GCDT_152	Vulgaris	0	73	104	0	0
GCDT_153	Vulgaris	0	33	143	1	0
GCDT_154	Vulgaris	4	170	2	1	0
GCDT_155	Vulgaris	0	4	173	0	0
GCDT_157	Vulgaris	0	140	34	3	0
GCDT_158	Vulgaris	0	1	176	0	0
GCDT_160	Vulgaris	20	156	0	1	0
GCDT_161	Vulgaris	5	16	156	0	0
GCDT_162	Vulgaris	1	33	142	1	0
GCDT_163	Vulgaris	8	166	3	0	0
GCDT_164	Vulgaris	0	41	136	0	0
GCDT_165	Vulgaris	0	49	128	0	0
GCDT_166	Vulgaris	12	153	0	12	0
GCDT_167	Vulgaris	12	119	1	45	0
GCDT_168	Vulgaris	4	154	13	6	0
GCDT_169	Vulgaris	5	168	3	1	0
GCDT_170	Vulgaris	0	154	22	1	0
GCDT_171	Vulgaris	14	131	6	26	0
GCDT_172	Vulgaris	0	163	2	12	0
GCDT_173	Vulgaris	0	176	0	1	0
GCDT_174	Vulgaris	14	159	0	4	0
GCDT_175	Vulgaris	8	148	8	13	0
GCDT_176	Vulgaris	8	168	0	1	0
GCDT_177	Vulgaris	0	176	0	1	0
GCDT_178	Vulgaris	5	171	0	1	0
GCDT_179	Vulgaris	0	158	3	16	0
GCDT_180	Vulgaris	0	24	153	0	0
GCDT_181	Vulgaris	12	128	5	32	0
GCDT_182	Vulgaris	10	127	19	21	0
GCDT_183	Vulgaris	11	129	13	24	0
GCDT_184	Vulgaris	0	176	0	1	0
GCDT_185	Vulgaris	0	176	1	0	0
GCDT_186	Vulgaris	0	4	173	0	0
GCDT_189	Vulgaris	13	152	1	11	0
GCDT_190	Vulgaris	9	165	0	3	0
GCDT_191	Vulgaris	0	39	138	0	0
GCDT_192	Vulgaris	7	166	0	4	0
GCDT_193	Vulgaris	1	161	15	0	0
GCDT_194	Vulgaris	0	176	0	1	0
GCDT_197	Vulgaris	0	177	0	0	0
GCDT_198	Vulgaris	7	168	0	2	0
GCDT_199	Vulgaris	9	6	162	0	0
GCDT_200	Vulgaris	3	165	7	2	0
GCDT_202	Vulgaris	1	164	12	0	0
GCDT_203	Vulgaris	0	171	4	2	0
GCDT_204	Vulgaris	7	168	0	2	0
GCDT_205	Vulgaris	1	156	18	2	0
GCDT_206	Vulgaris	5	101	70	1	0
GCDT_207	Vulgaris	0	5	172	0	0
GCDT_208	Vulgaris	10	142	6	19	0
GCDT_209	Vulgaris	8	167	0	2	0
GCDT_210	Vulgaris	0	174	1	2	0
GCDT_211	Vulgaris	0	174	1	2	0
GCDT_212	Vulgaris	0	175	0	2	0
GCDT_213	Vulgaris	0	166	5	6	0
GCDT_214	Vulgaris	3	151	0	23	0
GCDT_215	Vulgaris	0	175	0	2	0
GCDT_216	Vulgaris	0	176	0	1	0
GCDT_217	Vulgaris	0	177	0	0	0
GCDT_218	Vulgaris	1	160	1	15	0
GCDT_219	Vulgaris	13	156	1	7	0
GCDT_220	Vulgaris	0	156	0	21	0
GCDT_221	Vulgaris	0	176	0	1	0
GCDT_222	Vulgaris	1	176	0	0	0
GCDT_223	Vulgaris	0	90	87	0	0
GCDT_224	Vulgaris	0	162	14	1	0
GCDT_225	Vulgaris	0	175	2	0	0
GCDT_226	Vulgaris	5	168	3	1	0
GCDT_227	Vulgaris	0	171	5	1	0
GCDT_230	Vulgaris	0	28	147	2	0
GCDT_231	Vulgaris	19	152	0	6	0
GCDT_232	Vulgaris	1	172	0	4	0
GCDT_233	Vulgaris	0	160	5	12	0
GCDT_234	Vulgaris	11	108	54	4	0
GCDT_235	Vulgaris	8	98	56	15	0
GCDT_236	Vulgaris	0	5	171	1	0
GCDT_237	Vulgaris	22	122	5	28	0
GCDT_238	Vulgaris	0	166	9	2	0
GCDT_240	Vulgaris	0	157	5	15	0
GCDT_241	Vulgaris	9	156	7	5	0
GCDT_242	Vulgaris	0	129	46	2	0
GCDT_243	Vulgaris	0	5	172	0	0
GCDT_244	Vulgaris	1	170	2	4	0
GCDT_245	Vulgaris	9	164	0	4	0
GCDT_246	Vulgaris	0	66	108	3	0
GCDT_247	Vulgaris	0	138	38	1	0
GCDT_248	Vulgaris	5	139	32	1	0
GCDT_249	Vulgaris	7	168	0	2	0
GCDT_250	Vulgaris	0	172	4	1	0
GCDT_251	Vulgaris	0	175	1	1	0
GCDT_252	Vulgaris	0	175	0	2	0
GCDT_253	Vulgaris	0	175	0	2	0
GCDT_254	Vulgaris	0	175	0	2	0
GCDT_255	Vulgaris	0	168	0	9	0
GCDT_256	Vulgaris	0	177	0	0	0
GCDT_257	Vulgaris	9	166	0	2	0
GCDT_258	Vulgaris	0	175	0	2	0
GCDT_259	Vulgaris	0	57	119	1	0
GCDT_260	Vulgaris	0	175	0	2	0
GCDT_261	Vulgaris	8	163	1	5	0
GCDT_262	Vulgaris	15	160	0	2	0
GCDT_263	Vulgaris	0	175	1	1	0
GCDT_264	Vulgaris	0	177	0	0	0
GCDT_265	Vulgaris	0	106	69	2	0
GCDT_268	Vulgaris	16	159	0	2	0
GCDT_269	Vulgaris	8	169	0	0	0
GCDT_270	Vulgaris	0	169	8	0	0
GCDT_271	Vulgaris	6	167	1	3	0
GCDT_272	Vulgaris	0	139	37	1	0
GCDT_273	Vulgaris	7	154	15	1	0
GCDT_276	Vulgaris	8	165	0	4	0
GCDT_277	Vulgaris	1	118	57	1	0
GCDT_278	Vulgaris	0	2	175	0	0
GCDT_279	Vulgaris	12	162	0	3	0
GCDT_280	Vulgaris	2	175	0	0	0
GCDT_282	Vulgaris	25	151	0	1	0
